"Country","total_deaths","hdi","gdp","poverty","cardiovascular","diabetes","Aids","Hepatitis","Measles","Pertussis","Low_bw"
"Andorra",149,0.868,NA,NA,109.135,7.97,0,0,0,0,0
"Australia",4664,0.944,44648.71,0.5,107.791,5.07,0,0.6,0.46,48.86,6.63333333333333
"Austria",14392,0.922,45436.686,0.7,145.183,6.35,29.7,0.7,0.86,18.6333333333333,6.3
"Belgium",29724,0.931,42658.576,0.2,114.898,4.29,27.05,0,1.96,10.4,6.76666666666667
"Canada",35572,0.929,44017.591,0.5,105.599,7.37,75.95,13.8,0.05,10.35,6.46666666666667
"Cyprus",788,0.887,32415.132,NA,141.171,9.24,0,0,0,0,0
"Czechia",37873,0.9,32605.906,NA,227.485,6.82,0,0,0,0,0
"Denmark",4049,0.94,46682.515,0.2,114.767,6.41,12.7125,0.15,0.14,24.3333333333333,4.9
"Estonia",2115,0.892,29481.252,0.5,255.569,4.02,15.1875,0.325,0.62,5.03333333333333,4.2
"Finland",2214,0.938,40585.721,NA,153.507,5.76,11.0625,0.125,0.18,7.96666666666667,4.1
"France",135258,0.901,38605.671,NA,86.06,4.77,244.4875,0.1,1.92,0,7.575
"Germany",120227,0.947,45229.245,NA,156.139,8.31,115.275,0.825,0.58,16.9333333333333,0
"Greece",24836,0.888,24574.382,1.5,175.695,4.55,56.3875,0.175,6.14,0.466666666666667,9.425
"Hong Kong",221,0.949,56054.92,NA,NA,8.33,0,0,0,0,0
"Hungary",42631,0.854,26777.561,0.5,278.296,7.55,27.1375,0.4,0.14,0.166666666666667,8.375
"Iceland",55,0.949,46482.958,0.2,117.992,5.31,1.6125,0.95,0.74,4.9,4.02
"Ireland",6291,0.955,67335.293,0.2,126.459,3.28,7.0125,0.55,0.98,4.13333333333333,5.66666666666667
"Israel",9624,0.919,33132.32,0.5,93.32,6.74,15.98,0.28,9.76,11.26,7.55
"Italy",151296,0.892,35220.084,2,113.151,4.78,370.6,0.6,3.52,1.6,7.275
"Japan",20520,0.919,39002.223,NA,79.37,5.72,195.15,0.2,0.275,10.45,9.4
"Latvia",5029,0.866,25063.846,0.7,350.06,4.91,55.3375,2.45,0.3,8.66666666666667,4.325
"Liechtenstein",74,0.919,NA,NA,NA,7.77,0,0,0,0,0
"Lithuania",8134,0.882,29524.265,0.7,342.989,3.67,20.7125,0.65,6.38,0.966666666666667,4.65
"Luxembourg",976,0.916,94277.965,0.2,128.275,4.42,3.6625,0,1.1,1.9,6.525
"Malta",592,0.895,36513.323,0.2,168.711,8.83,0,0,0,0,0
"Netherlands",21486,0.944,48472.545,NA,109.361,5.29,81.975,0.65,0.14,27.1333333333333,5.8
"New Zealand",53,0.931,36085.843,NA,128.797,8.08,9.4,0.6,9.62,31.32,5.975
"Norway",1513,0.957,64800.057,0.2,114.316,5.31,8.5375,0.35,0.12,45.0666666666667,4.55
"Poland",108137,0.88,27216.445,NA,227.331,5.91,51.0125,0.1,1.06,10.0666666666667,5.65
"Portugal",20565,0.864,27936.896,0.5,127.842,9.85,138.7125,0.325,0.44,2.36666666666667,8.875
"Saudi Arabia",8974,0.854,49045.411,NA,259.538,17.72,0,0,0,0,0
"Singapore",906,0.938,85535.383,NA,92.243,10.99,0,0,0,0,0
"Slovakia",18105,0.86,30155.152,0.7,287.959,7.29,0,0,0,0,0
"Slovenia",6099,0.917,31400.84,NA,153.493,7.25,4.45,0.6,0.68,8.96666666666667,6.35
"South Korea",7163,0.916,35938.374,0.2,85.998,6.8,0,0,0,0,0
"Spain",96596,0.904,34272.36,1,99.403,7.17,208.975,0.95,0.34,7.73333333333333,7.7
"Sweden",16501,0.945,46949.283,0.5,133.982,4.79,0,0.625,0.2,7.43333333333333,4.375
"Switzerland",12963,0.955,57410.166,NA,99.739,5.59,32.625,0.4,1.3,0,6.32
"United Arab Emirates",2287,0.89,67293.483,NA,317.84,17.26,0,0,0,0,0
"United Kingdom",158621,0.932,39753.244,0.2,122.137,4.28,136.3375,0.625,0.82,7.525,6.875
"United States",922840,0.926,54225.446,1.2,151.089,10.79,9015.91666666667,1.03333333333333,0.0333333333333333,5.4,8.275
